PassengerId;Parch;Ticket;Fare;Cabin;Embarked
1;0;330911;7.8292;;Q
2;0;363272;;;S
3;0;240276;9.6875;;Q
4;0;315154;8.6625;;S
5;1;3101298;12.2875;;S
6;0;7538;9.225;;S
7;0;330972;7.6292;;Q
8;1;248738;;;S
9;0;2657;7.2292;;C
10;0;A/4 48871;24.15;;S
11;0;349220;7.8958;;S
12;0;694;;;S
13;0;21228;82.2667;B45;S
14;0;24065;26;;S
15;0;W.E.P. 5734;61.175;E31;S
16;0;SC/PARIS 2167;27.7208;;C
16;0;SC/PARIS 2167;27.7208;;C
17;0;233734;12.35;;Q
18;0;2692;7.225;;C
19;0;STON/O2. 3101270;7.925;;S
20;0;2696;7.225;;C
21;0;PC 17603;59.4;;C
22;1;C 17368;3.1708;;S
23;0;PC 17598;31.6833;;S
24;1;PC 17597;61.3792;;C
24;1;PC 17597;61.3792;;C
25;3;PC 17608;262.375;B57 B59 B63 B66;C
26;0;A/5. 3337;14.5;;S
27;1;113509;61.9792;B36;C
28;0;2698;7.225;;C
29;0;113054;30.5;A21;S
30;0;2662;21.6792;;C
31;0;SC/AH 3085;26;;S
32;0;C.A. 31029;31.5;;S
33;2;C.A. 2315;20.575;;S
34;2;W./C. 6607;23.45;;S
35;0;13236;57.75;C78;C
36;0;2682;7.2292;;C
37;0;342712;8.05;;S
37;0;342712;8.05;;S
38;0;315087;8.6625;;S
39;0;345768;9.5;;S
40;0;1601;56.4958;;S
41;1;349256;13.4167;;C
42;0;113778;26.55;D34;S
43;0;SOTON/O.Q. 3101263;7.85;;S
44;0;237249;13;;S
45;0;11753;52.5542;D19;S
46;0;STON/O 2. 3101291;7.925;;S
47;0;PC 17594;29.7;A9;C
48;0;370374;;;Q
49;0;11813;76.2917;D15;C
50;2;C.A. 37671;15.9;;S
51;0;13695;60;C31;S
52;0;SC/PARIS 2168;15.0333;;C
53;1;29105;;;S
54;2;19950;263;C23 C25 C27;S
55;0;SC/A.3 2861;15.5792;;C
55;0;SC/A.3 2861;15.5792;;C
56;1;382652;29.125;;Q
57;0;349230;7.8958;;S
58;0;348122;7.65;F G63;S
59;0;386525;16.1;;S
60;0;PC 17608;;B61;C
61;0;349232;7.8958;;S
62;0;237216;13.5;;S
63;0;347090;7.75;;S
64;0;334914;7.725;;Q
